FileID,Word Num,Normalized,Language,w/n/naw,Element
bleh0027,1,centuria,la,w,"<w xml:id=""bleh0027-1"" xml:lang=""la""><expan><abbr><am>Ɔ</am></abbr><ex>centuria</ex></expan></w>"
bleh0027,2,Valerii,la,w,"<w xml:id=""bleh0027-2"" xml:lang=""la""><expan><abbr>Valeri</abbr><ex>i</ex></expan></w>"
bleh0027,3,Aemiliani,la,w,"<w xml:id=""bleh0027-3"" xml:lang=""la""><expan><abbr>Aemili</abbr><ex>ani</ex></expan></w>"
bleh0028,1,centuria,la,w,"<w xml:id=""bleh0028-1"" xml:lang=""la""><expan><abbr><am>Ɔ</am></abbr><ex>centuria</ex></expan></w>"
bleh0028,2,Vitalis,la,w,"<w xml:id=""bleh0028-2"" xml:lang=""la"">Vitalis</w>"
bleh0029,1,centuria,la,w,"<w xml:id=""bleh0029-1"" xml:lang=""la""><expan><abbr><am>Ɔ</am></abbr><ex>centuria</ex></expan></w>"
bleh0029,2,V,la,naw,"<orig xml:id=""bleh0029-2"" xml:lang=""la"">V</orig>"
eina0002,1,NZ,la,w,"<w xml:id=""eina0002-1"" xml:lang=""la""><choice><unclear>N</unclear><unclear>Z</unclear></choice></w>"
emma0019,1,Antonini,la,w,"<w xml:id=""emma0019-1"" xml:lang=""la""><supplied reason=""lost"" cert=""low"">Anto</supplied>nini</w>"
emma0019,2,Augusti,la,w,"<w xml:id=""emma0019-2"" xml:lang=""la"">Au<supplied reason=""lost""><expan><abbr>g</abbr><ex>usti</ex></expan></supplied></w>"
emma0020,1,CIIOIXI,la,naw,"<orig xml:id=""emma0020-1"" xml:lang=""la"">CIIOIXI</orig>"
emma0020,2,ARV,la,naw,"<orig xml:id=""emma0020-2"" xml:lang=""la"">ARV</orig>"
emma0020,3,II,la,n,"<num xml:id=""emma0020-3"" xml:lang=""la"" value=""2"">II</num>"
jeri0027,1,Toto,la,w,"<w xml:id=""jeri0027-1"" xml:lang=""la""><expan><abbr>To</abbr><ex>to</ex></expan></w>"
jeri0027,2,feci,la,w,"<w xml:id=""jeri0027-2"" xml:lang=""la"">feci</w>"
jeri0027,3,leto,la,w,"<w xml:id=""jeri0027-3"" xml:lang=""la"">leto</w>"
jeri0027,4,die,la,w,"<w xml:id=""jeri0027-4"" xml:lang=""la"">die</w>"
jeri0027,5,leto,la,w,"<w xml:id=""jeri0027-5"" xml:lang=""la"">le<supplied reason=""lost"">to</supplied></w>"
jeri0029,1,Imperatoribus,la,w,"<w xml:id=""jeri0029-1"" xml:lang=""la""><supplied reason=""lost""><expan><abbr>Imp</abbr><ex>eratoribus</ex></expan></supplied></w>"
jeri0029,2,Marco,la,w,"<w xml:id=""jeri0029-2"" xml:lang=""la""><supplied reason=""lost"">Marco</supplied></w>"
jeri0029,3,Antonino,la,w,"<w xml:id=""jeri0029-3"" xml:lang=""la""><expan><abbr>Anton</abbr><ex>ino</ex></expan></w>"
jeri0029,4,et,la,w,"<w xml:id=""jeri0029-4"" xml:lang=""la""><supplied reason=""lost"">et</supplied></w>"
jeri0029,5,Lucio,la,w,"<w xml:id=""jeri0029-5"" xml:lang=""la""><supplied reason=""lost"">Lucio</supplied></w>"
jeri0029,6,Vero,la,w,"<w xml:id=""jeri0029-6"" xml:lang=""la""><supplied reason=""lost"">V</supplied>ero</w>"
jeri0029,7,Augustis,la,w,"<w xml:id=""jeri0029-7"" xml:lang=""la""><expan><abbr>Aug</abbr><ex>ustis</ex></expan></w>"
jeri0029,8,legio,la,w,"<w xml:id=""jeri0029-8"" xml:lang=""la""><supplied reason=""lost""><expan><abbr>leg</abbr><ex>io</ex></expan></supplied></w>"
jeri0029,9,X,la,n,"<num xml:id=""jeri0029-9"" xml:lang=""la"" value=""10""><supplied reason=""lost"">X</supplied></num>"
jeri0029,10,Fretensis,la,w,"<w xml:id=""jeri0029-10"" xml:lang=""la""><supplied reason=""lost"" cert=""low""><expan><abbr>Fret</abbr><ex>ensis</ex></expan></supplied></w>"
jeri0029,11,sub,la,w,"<w xml:id=""jeri0029-11"" xml:lang=""la""><supplied reason=""lost"">sub</supplied></w>"
jeri0029,12,Iulio,la,w,"<w xml:id=""jeri0029-12"" xml:lang=""la""><supplied reason=""lost"">Iulio</supplied></w>"
jeri0029,13,Commodo,la,w,"<w xml:id=""jeri0029-13"" xml:lang=""la""><supplied reason=""lost"">Co</supplied>mmodo</w>"
jeri0029,14,consularie,la,w,"<w xml:id=""jeri0029-14"" xml:lang=""la""><expan><abbr>co</abbr><ex>n</ex><abbr>s</abbr><ex>ularie</ex></expan></w>"
jeri0034,1,CASSI,la,naw,"<orig xml:id=""jeri0034-1"" xml:lang=""la"">CASSI</orig>"
jeri0035,1,OQVETOVENTSV,la,naw,"<orig xml:id=""jeri0035-1"" xml:lang=""la""><unclear><choice><unclear>O</unclear><unclear>Q</unclear></choice>VETOVENTSV</unclear></orig>"
jeru0655,1,Domine,la,w,"<w xml:id=""jeru0655-1"" xml:lang=""la"">Domine</w>"
jeru0655,2,ivimus.,la,w,"<w xml:id=""jeru0655-2"" xml:lang=""la"">ivimus.</w>"
lach0002,1,dextra,la,w,"<w xml:id=""lach0002-1"" xml:lang=""la""><expan><abbr>d</abbr><ex>extra</ex></expan></w>"
lach0002,2,decumanum,la,w,"<w xml:id=""lach0002-2"" xml:lang=""la""><expan><abbr>d</abbr><ex>ecumanum</ex></expan></w>"
lach0002,3,XXVII,la,n,"<num xml:id=""lach0002-3"" xml:lang=""la"" value=""27"">XXVII</num>"
lach0002,4,kardo,la,w,"<w xml:id=""lach0002-4"" xml:lang=""la""><expan><abbr>k</abbr><ex>ardo</ex></expan></w>"
lach0002,5,maximus,la,w,"<w xml:id=""lach0002-5"" xml:lang=""la""><expan><abbr>m</abbr><ex>aximus</ex></expan></w>"
lach0003,1,decumanus,la,w,"<w xml:id=""lach0003-1"" xml:lang=""la""><expan><abbr>d</abbr><ex>ecumanus</ex></expan></w>"
lach0003,2,maximus,la,w,"<w xml:id=""lach0003-2"" xml:lang=""la""><expan><abbr>m</abbr><ex>aximus</ex></expan></w>"
raml0001,1,Cnaei,la,w,"<w xml:id=""raml0001-1"" xml:lang=""la""><expan><abbr>Cn<am>ʃ</am></abbr><ex>aei</ex></expan></w>"
raml0001,2,Aeli,la,w,"<w xml:id=""raml0001-2"" xml:lang=""la"">Aeli</w>"
raml0001,3,Optati,la,w,"<w xml:id=""raml0001-3"" xml:lang=""la"">Optati</w>"
