Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,persname type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
numini,"bshe0006-21, caes0006-15, caes0014-22, caes0017-22, caes0019-4, caes0029-2",numen,NOUN,w-numini,Case=dative|Gender=neuter|Number=singular,y,numen,,,,,,,,,,,,,,,,,,,,,,,,,,,y,numen,,,
ob,maay0001-30,ob,ADP,w-ob,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octavii,"masa0949-2, masa0950-2",octauius,PROPN,w-octavii,None,,,y,m,other,Octavius,,,,,,,,,,,,,,,,,,,,,,,,,,,
oeorum,unkn0130-90,oeor,NOUN,w-oeorum,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offici,caes0682-4,officium,NOUN,w-offici,Case=nominative|Gender=neuter|Number=plural,,,,,,,,y,other,generic,,,,,,,,,,,,,,,,,,,,,,,
omnia,"caes0683-4, haif0020a-8",omnis,DET,w-omnia,Case=nominative|Gender=neuter|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oppius,emma0001-2,oppius,PROPN,w-oppius,None,,,y,m,other,Oppius,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimae,caes0148-3,bonus,ADJ,w-optimae,Case=nominative|Gender=feminine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimo,"caes0018-18, caes0037-2",bonus,X,w-optimo,Case=ablative|Gender=neuter|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimo,"caes0018-18, caes0037-2",bonus,ADJ,w-optimo,Case=ablative|Gender=neuter|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optio,emma0001-11,optium,NOUN,w-optio,None,,,,,,,,y,military,optio,y,rank,,,,,,,,,,,,,,,,,,,,,
oratorem,caes0003-11,orator,NOUN,w-oratorem,Case=accusative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,y,orator,,,,,,,,,
orbis,maay0001-2,orbis,NOUN,w-orbis,Case=accusative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,
Osrhoenae,caes0010-8,Osrhoena,PROPN,w-osrhoenae,None,,,,,,,,,,,,,,,,,y,Osroene,https://pleiades.stoa.org/places/1001935,,,,,,,,,,,,,,
ostio,yotv0001-16,ostium,NOUN,w-ostio,Case=ablative|Gender=neuter|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paci,yotv0001-2,pax,NOUN,w-paci,Case=dative|Gender=feminine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palaestinae,"bshe0006-20, caes0009-22, caes0014-20, caes0017-20, caes0022-7, caes0032-3, caes0033-5, caes0036-3",palaestinus,ADJ,w-palaestinae,None,,,,,,,,,,,,,,,,,y,Palestine,https://pleiades.stoa.org/places/991396,,,,,,,,,,,,,,
Palaestinae,caes0351-2,Palaestina,PROPN,w-palaestinae,None,,,,,,,,,,,,,,,,,y,Palestine,https://pleiades.stoa.org/places/991396,,,,,,,,,,,,,,
Palaestinae,"caes0018-9, caes0020-7, yotv0001-24",Palaestinus,ADJ,w-palaestinae,None,,,,,,,,,,,,,,,,,y,Palestine,https://pleiades.stoa.org/places/991396,,,,,,,,,,,,,,
