Normalized,Occurrences,Lemma,POS,NormalizedID,MorphoNotes,divine name?,divine name key,persname?,persname gender,type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
קב,"idum0020-14, idum0019-15, idum0078-14, idum0079-13, idum0421-5, idum0499-10, idum0510-5, idum0598-8, idum0638-12",קבב_פעל,Verb,w-קב,Verb Masc Sing P3 Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מרים,"jeru0171-1, jent0007-1, jeru0020-1, jeru0105-1, jeru0131-2, jeru0167-2, jeru0226-1, jeru0380-1, jeru0484-1, mger0017-3, mger0020-11, mger0213-1",רִים,Noun,w-מרים,PreLets-1 Pre_Prep Pre_NotDef Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשת,"jeru0171-2, jeru0008-2",אִשָּׁה,Noun,w-אשת,Noun Fem Sing Construct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מתיה,"jeru0171-3, jeru0025-1, jeru0045-5, jeru0198-1",מָתָא,Noun,w-מתיה,Aramaic Noun Fem Sing Abs Suf_Proniminal SufType_Possessive Suf_Masc Suf_Sing Suf_P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מרי,jeru0172-1,מַר,Noun,w-מרי,Noun Masc Sing Abs Suf_Proniminal SufType_Possessive Suf_MascFem Suf_Sing Suf_P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קבר,"jeru0172-2, jeru0180-7",קֶבֶר,Noun,w-קבר,Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פסוי,jeru0624-1,פסי_פעל,Verb,w-פסוי,Verb Masc Sing PAny Present Passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בר,"jeru0624-2, jeru0626-5, odob0020-6, odob0024-5, sina0120-3, sina0121-4, sina0123-3, sina0123-5, sina0124-3, sina0125-3, sina0126-3, sina0128-3, sina0130-3, sina0134-3, sina0138-3, sina0140-3, sina0142-3, sina0144-3, sina0146-3, sina0150-3, sina0152-3, sina0156-3, sina0158-3, sina0160-3, sina0162-5, sina0166-3, sina0168-3, sina0170-3, sina0176-2, sina0178-3, sina0180-3, sina0182-3, sina0184-3, sina0184-5, sina0184-7, sina0186-2, sina0188-3, sina0192-3, sina0194-3, sina0196-4, sina0198-2, sina0200-3, sina0204-3, sina0206-3, sina0208-3, sina0210-3, sina0212-3, sina0214-2, sina0218-3, bens0001-2, beth0224-4, dabb0001-2, dabb0002-1, eavd0001-12, einn0002-2, einn0003-2, einn0003-4, elji0002-1, firi0001-2, haif0037-2, hebr0001-1, hraq0001-33, idum0001-2, idum0001-4, idum0030-7, idum0053-5, idum0056-2, idum0066-2, idum0067-2, idum0068-2, idum0094-5, idum0098-7, idum0105-3, idum0107-7, idum0108-3, idum0139-3, idum0147-2, idum0148-6, idum0150-2, idum0157-7, idum0157-14, idum0158-2, idum0206-2, idum0215-2, idum0326-7, idum0328-2, idum0424-6, idum0425-7, idum0441-4, idum0449-5, idum0453-2, idum0455-6, idum0457-2, idum0460-6, idum0461-6, idum0462-4, idum0463-2, idum0477-5, idum0477-10, idum0491-5, idum0492-6, idum0495-2, idum0501-2, idum0506-2, idum0515-2, idum0517-2, idum0520-6, idum0524-4, idum0547-1, idum0570-7, idum0573-10, idum0574-5, idum0578-6, idum0581-5, idum0583-3, idum0586-2, idum0593-2, idum0597-2, idum0599-5, idum0600-5, idum0601-7, idum0622-2, idum0623-7, idum0645-6, idum0649-6, idum0650-6, idum0666-3, idum0668-8, idum0671-2, idum0672-7, idum0678-6, idum0679-5, idum0683-7, jeri0001-2, jeri0016-2, jeru0005-3, jeru0009-2, jeru0010-3, jeru0012-2, jeru0023-2, jeru0034-2, jeru0034-4, jeru0035-2, jeru0073-2, jeru0077-2, jeru0090-2, jeru0107-2, jeru0116-2, jeru0119-2, jeru0123-3, jeru0123-5, jeru0149-2, jeru0151-2, jeru0152-2, jeru0166-2, jeru0168-2, jeru0168-4, jeru0177-2, jeru0178-1, jeru0180-2, jeru0180-5, jeru0186-2, jeru0186-5, jeru0186-8, jeru0193-3, jeru0197-2, jeru0199-2, jeru0206-2, jeru0227-2, jeru0234-5, jeru0235-2, jeru0236-5, jeru0311-2, jeru0360-2, jeru0366-1, jeru0386-2, jeru0408-2, jeru0458-2, jeru0460-2, jeru0467-2, jeru0487-4, jeru0542-2, jeru0548-3, jeru0549-2, jeru0558-2, jeru0563-2, jmon0001-4, jmon0002-5, jmon0004-3, jmon0005-11, jmon0006-3, jmon0007-4, jmon0007-9, jmon0008-3, jmon0009-5, jmon0010-3, jmon0011-4, jmon0011-6, jmon0012-4, jmon0013-3, jmon0014-3, jmon0015-5, jmon0016-4, jmon0019-2, jmon0020-3, jmon0021-3, jmon0021-5, jmon0022-2, jmon0023-4, jmon0024-3, jmon0024-5, jmon0025-3, jmon0026-3, jmon0027-3, jmon0028-3, jmon0028-7, jmon0028-10, jmon0029-3, mare0020-2, mare0040-4, mare0043-2, mare0084-2, mare0110-2, mare0110-5, mare0131-2, mare0132-2, mare0136-8, mare0136-15, mari0004-7, masa0398-2, masa0408-1, masa0413-2, masa0420-1, masa0420-4, masa0420-8, masa0420-10, masa0421-1, masa0421-10, masa0421-13, masa0421-16, masa0421-19, masa0422-1, masa0423-1, masa0423-4, masa0425-3, masa0475-1, masa0480-1, masa0481-1, masa0482-1, masa0483-1, masa0502-1, masa0554-2, masa0613-2, masa0613-4, masa0657-1, masa0667-2, masa0668-2, mger0001-4, mger0003-4, mger0005-4, mger0007a-2, mger0007b-2, mger0014-1, mger0020-4, mger0027-4, mger0030-1, mger0031-3, mger0033-3, mger0035-2, mger0036-3, mger0038-2, mger0046-1, mger0048-2, mger0049-2, mger0055-2, mger0056-1, mger0058-2, mger0062-2, mger0064-1, mger0097-1, mger0147-4, mger0148-4, mger0149-4, mger0152-4, mger0158-4, mger0164-2, mger0174-1, mger0175-1, mger0208-1, mger0215-1, mger0222-2, mger0227-2, mger0228-1, mger0236-2, mger0264-1, mger0274-2, mger0278-2, mger0290-1, mger0291-2, mger0296-1, mger0305-2, mger0307-1, mger0319-2, mger0333-1, mger0342-1, mger0389-1, narr0007-5, narr0010-4, sepp0002-4, sepp0003-4, sepp0004-3, sepp0004-5, sepp0005-4, sepp0007-4, sepp0007-6, sepp0007-9, sepp0010-3, sepp0010-5, sina0100-3, sina0101-3, sina0102-3, sina0104-3, sina0107-3, sina0108-3, sina0111-3, sina0112-3, tibe0011-1, unkn0105-17, yati0001-4, yavn0004-3, zoor0394-4, zoor0397-4, zoor0399-4, zoor0402-16, zoor0405-4, zoor0405-9, zoor0407-4, zoor0409-4, zoor0410-5, zoor0413-7, zoor0415-4, zoor0418-5, zoor0419-4, zoor0421-4, zoor0426-5, zoor0427-5, zoor0429-4, zoor0431-4, zoor0433-4, zoor0435-6, zoor0437-4, zoor0439-5, zoor0440-4, zoor0445-4, zoor0452-4, zoor0454-4",בור_פעל,Verb,w-בר,Verb Masc Sing P3 Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אהרן,jeru0624-3,אַהֲרֹן,Propername,w-אהרן,Propername Sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דמן,jeru0624-4,מִן,Adv,w-דמן,Aramaic PreLets-1 Pre_RelSub Adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
